Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Q-value	Score	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity not corrected 0	Reporter intensity not corrected 1	Reporter intensity not corrected 2	Reporter intensity not corrected 3	Reporter intensity not corrected 4	Reporter intensity not corrected 5	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Intensity	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Acetyl (K) site IDs	Deamidation (NQ) site IDs	Oxidation (M) site IDs	Acetyl (K) site positions	Deamidation (NQ) site positions	Oxidation (M) site positions
A2ATU0	A2ATU0	1	1	1	Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial	Dhtkd1	>A2ATU0 Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial OS=Mus musculus OX=10090 GN=Dhtkd1 PE=1 SV=1	1	1	1	1	0.9	0.9	0.9	102.79	921	921	3			1		0	6.8013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10	1777	True	1934	2820	2913	2913	13			828		
A2AVZ9	A2AVZ9	1	1	1	Solute carrier family 43 member 3	Slc43a3	>A2AVZ9 Solute carrier family 43 member 3 OS=Mus musculus OX=10090 GN=Slc43a3 PE=1 SV=1	1	1	1	1	2	2	2	56.033	502	502	2		1			0	8.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				11	12	True	12	20	20	20	14			244		
A2AX52	A2AX52	1	1	1	Collagen alpha-4(VI) chain	Col6a4	>A2AX52 Collagen alpha-4(VI) chain OS=Mus musculus OX=10090 GN=Col6a4 PE=1 SV=2	1	1	1	1	0.4	0.4	0.4	250.8	2309	2309	4				1	0.0089002	5.5667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				12	2325	True	2515	3648	3765	3765		144			2124	
A2RSQ1	A2RSQ1	1	1	1	Beta-galactosidase-1-like protein 3	Glb1l3	>A2RSQ1 Beta-galactosidase-1-like protein 3 OS=Mus musculus OX=10090 GN=Glb1l3 PE=1 SV=1	1	1	1	1	1.2	1.2	1.2	73.921	649	649	3			1		0.0089744	5.5897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				13	2630	True	2873	4148	4273	4273	15	0;1		218	212;215	
A2RT67	A2RT67	1	1	1	DENN domain-containing protein 3	Dennd3	>A2RT67 DENN domain-containing protein 3 OS=Mus musculus OX=10090 GN=Dennd3 PE=1 SV=2	1	1	1	1	0.8	0.8	0.8	143.89	1274	1274	3.8			1	4	0	7.2923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				14	3569	True	3910;3911	5598;5599;5600;5601;5602	5750;5751;5752;5753;5754	5753	16		3	593		597
B1AR13	B1AR13	2	2	2	CDGSH iron-sulfur domain-containing protein 3, mitochondrial	Cisd3	>B1AR13 CDGSH iron-sulfur domain-containing protein 3, mitochondrial OS=Mus musculus OX=10090 GN=Cisd3 PE=1 SV=1	1	2	2	2	21.2	21.2	21.2	15.676	137	137	2.2		4	1		0	33.291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				15	298;2164	True;True	324;325;2347	495;496;497;498;3419	510;511;512;513;3528	510;3528	17;18	145		65;124	127	
B2RRD7	B2RRD7	1	1	1		Brpf1	>B2RRD7 Peregrin OS=Mus musculus OX=10090 GN=Brpf1 PE=1 SV=1	1	1	1	1	0.6	0.6	0.6	137.31	1212	1212	2		1			0.0049088	5.8068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				16	1137	True	1226	1780	1833	1833	19			1025		
B2RWS6	B2RWS6	13	13	9	Histone acetyltransferase p300	Ep300	>B2RWS6 Histone acetyltransferase p300 OS=Mus musculus OX=10090 GN=Ep300 PE=1 SV=2	1	13	13	9	3.7	3.7	1.8	263.3	2412	2412	2.77	2	10	6	8	0	261.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				17	671;991;1031;1911;2028;2379;2466;2500;2534;2570;2571;3269;3598	True;True;True;True;True;True;True;True;True;True;True;True;True	729;1073;1115;2080;2208;2570;2696;2697;2733;2734;2772;2808;2809;3587;3941	1053;1054;1553;1554;1555;1556;1617;3036;3223;3224;3721;3722;3723;3912;3913;3960;3961;3962;4015;4016;4059;4060;4061;5162;5640;5641	1084;1085;1592;1593;1594;1595;1656;3136;3326;3327;3841;3842;3843;4034;4035;4083;4084;4085;4139;4140;4183;4184;4185;5304;5794;5795	1085;1593;1656;3136;3326;3841;4035;4083;4140;4184;4185;5304;5795	20;21;22;23;24;25;26;27;28;29;30;31;32;33		4;5;6	1541;1545;1548;1549;1550;1553;1554;1557;1559;1589;1673;1703;1759;1768		1587;1704;1760
B2RXC1	B2RXC1	2	2	2	Trafficking protein particle complex subunit 11	Trappc11	>B2RXC1 Trafficking protein particle complex subunit 11 OS=Mus musculus OX=10090 GN=Trappc11 PE=1 SV=1	1	2	2	2	1.6	1.6	1.6	128.39	1133	1133	1.5	1	1			0	18.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				18	590;2688	True;True	642;2937	933;4239	963;4365	963;4365	34;35			245;471		
B2RXS4	B2RXS4	2	2	2	Plexin-B2	Plxnb2	>B2RXS4 Plexin-B2 OS=Mus musculus OX=10090 GN=Plxnb2 PE=1 SV=1	1	2	2	2	0.8	0.8	0.8	206.23	1842	1842	4				2	0	12.643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				19	132;742	True;True	142;803	215;1164	220;1197	220;1197	36;37			1433;1753		
B2RY56	B2RY56	1	1	1	RNA-binding protein 25	Rbm25	>B2RY56 RNA-binding protein 25 OS=Mus musculus OX=10090 GN=Rbm25 PE=1 SV=2	1	1	1	1	1.1	1.1	1.1	99.551	838	838	3			1		0	6.3554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				20	1276	True	1380	2003	2066	2066	38			729		
B9EJR8	B9EJR8	1	1	1		Heatr2	>B9EJR8 Dynein assembly factor 5, axonemal OS=Mus musculus OX=10090 GN=Dnaaf5 PE=1 SV=1	1	1	1	1	1.1	1.1	1.1	93.85	853	853	3			1		0.0030488	6.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				21	1827	True	1988	2912	3008	3008	39			559		
CON__P02768-1	CON__P02768-1	1	1	1			>P02768-1 SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor	1	1	1	1	1.6	1.6	1.6	69.366	609	609	4				1	0	6.3761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			+	22	355	True	389	598	618	618	40			229		
CON__P02769	CON__P02769	2	2	2			>P02769 SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor	1	2	2	2	2.8	2.8	2.8	69.293	607	607	3	1			2	0	12.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			+	23	559;2337	True;True	609;2527	885;886;3663	915;916;3780	915;3780	41;42			28;245		
CON__P04264	CON__P04264	5	3	2			>P04264 SWISS-PROT:P04264 Tax_Id=9606 Gene_Symbol=KRT1 Keratin, type II cytoskeletal 1	1	5	3	2	6.2	4.7	3.4	66.017	644	644	2.25	2		1	1	0	30.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			+	24	2539;2595;2844;2883;3638	False;True;True;True;False	2777;2836;3116;3163;3982	4023;4100;4493;4559;4560;5697	4147;4225;4623;4689;4690;5851	4147;4225;4623;4689;5851	43;44;45;46;47			246;269;276;395;416		
CON__P05784;P05784	CON__P05784;P05784	4;4	3;3	3;3	Keratin, type I cytoskeletal 18	Krt18	>P05784 SWISS-PROT:P05784 Tax_Id=10090 Gene_Symbol=Krt18 Keratin, type I cytoskeletal 18;>P05784 Keratin, type I cytoskeletal 18 OS=Mus musculus OX=10090 GN=Krt18 PE=1 SV=5	2	4	3	3	8.3	6.1	6.1	47.538	423	423;423	1.67	1	2			0	19.984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			+	25	1629;2061;2822;3451	False;True;True;True	1772;2241;3089;3781	2598;3267;4460;5430	2685;3371;4590;5578	2685;3371;4590;5578	48;49;50			91;103;180		
CON__P05787;P11679;CON__Q9H552;CON__Q8VED5;CON__P48668;CON__P04259;CON__P02538;CON__Q6IFZ6;CON__P13647;Q8VED5;Q6IFZ6;CON__H-INV:HIT000016045;CON__Q8BGZ7;CON__O95678;CON__P50446;CON__P12035;CON__Q01546;CON__Q3TTY5;Q8BGZ7;P50446;Q9Z331;Q3TTY5;CON__H-INV:HIT000292931;CON__Q5XKE5;CON__Q7Z794;CON__Q9NSB2;CON__Q6ISB0;CON__ENSEMBL:ENSBTAP00000038253;P15331;Q3UV17;Q99M73;P04104	CON__P05787;P11679;CON__Q9H552;CON__Q8VED5;CON__P48668;CON__P04259;CON__P02538;CON__Q6IFZ6;CON__P13647;Q8VED5;Q6IFZ6	6;5;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1	4;4;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;1	2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	Keratin, type II cytoskeletal 8;Keratin, type II cytoskeletal 79;Keratin, type II cytoskeletal 1b	Krt8;Krt79;Krt77	>P05787 SWISS-PROT:P05787 Tax_Id=9606 Gene_Symbol=KRT8 Keratin, type II cytoskeletal 8;>P11679 Keratin, type II cytoskeletal 8 OS=Mus musculus OX=10090 GN=Krt8 PE=1 SV=4;>Q9H552 TREMBL:Q9H552 Tax_Id=9606 Gene_Symbol=- Keratin-8-like protein 1;>Q8VED5 TREMB	32	6	4	2	9.3	5.6	3.5	53.704	483	483;490;499;531;564;564;564;572;590;531;572;99;551;551;553;629;638;707;551;553;562;707;443;535;578;600;600;606;475;594;603;637	1.2	4	1			0	28.892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			+	26	831;1870;2539;3199;3571;3638	False;False;True;True;True;True	902;2032;2777;3509;3510;3913;3982	1306;2972;4023;5057;5058;5605;5697	1340;3069;4147;5198;5199;5757;5851	1340;3069;4147;5199;5757;5851	43;44;51;52;53;54		7	8;96;178;185;304;393		310
CON__P07744;P07744	CON__P07744;P07744	2;2	1;1	1;1	Keratin, type II cytoskeletal 4	Krt4	>P07744 SWISS-PROT:P07744 Tax_Id=10090 Gene_Symbol=Krt4 Keratin, type II cytoskeletal 4;>P07744 Keratin, type II cytoskeletal 4 OS=Mus musculus OX=10090 GN=Krt4 PE=1 SV=2	2	2	1	1	3.8	2.1	2.1	56.283	525	525;525	1	1				0	7.195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			+	27	831;3280	False;True	902;3598	1306;5177	1340;5319	1340;5319	51;55			151;361		
CON__P13645	CON__P13645	1	1	1			>P13645 SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10	1	1	1	1	1.5	1.5	1.5	59.51	593	593	2		1			0.00083472	6.3118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			+	28	3750	True	4108	5861	6018	6018	56			201		
CON__P19001;P19001;CON__P08727;CON__Q04695;CON__Q9QWL7;CON__P02533;Q9QWL7;Q61781	CON__P19001;P19001	7;7;2;1;1;1;1;1	7;7;2;1;1;1;1;1	6;6;1;1;1;1;1;1	Keratin, type I cytoskeletal 19	Krt19	>P19001 SWISS-PROT:P19001 Tax_Id=10090 Gene_Symbol=Krt19 Keratin, type I cytoskeletal 19;>P19001 Keratin, type I cytoskeletal 19 OS=Mus musculus OX=10090 GN=Krt19 PE=1 SV=1	8	7	7	6	16.4	16.4	14.1	44.541	403	403;403;400;432;433;472;433;484	2.25	2	4		2	0	59.42	2591.8	2688.7	2709.8	2206.7	2228.6	2313.1	2591.8	2688.7	2709.8	2206.7	2228.6	2313.1	1	1	1	1	1	1	5538400	2			+	29	586;666;1629;1672;1899;2768;3190	True;True;True;True;True;True;True	637;724;1772;1820;2066;3030;3500	925;1048;2598;2669;3014;3015;4388;5047	955;1079;2685;2760;3113;3114;4518;5188	955;1079;2685;2760;3114;4518;5188	57;58;59;60;61		8	171;218;219;268;367		370
CON__P35908	CON__P35908	4	2	2			>P35908 SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal	1	4	2	2	5.6	2.9	2.9	65.865	645	645	3		1		1	0	12.535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			+	30	831;1036;2312;3638	False;True;True;False	902;1120;2500;3982	1306;1627;3620;5697	1340;1666;3731;5851	1340;1666;3731;5851	51;62;63;64			189;280;420;442		
CON__Q05443;P51885	CON__Q05443;P51885	1;1	1;1	1;1	Lumican	Lum	>Q05443 SWISS-PROT:Q05443 (Bos taurus) Lumican precursor;>P51885 Lumican OS=Mus musculus OX=10090 GN=Lum PE=1 SV=2	2	1	1	1	2.3	2.3	2.3	38.756	342	342;338	4				1	0.0008244	6.2623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			+	31	909	True	985	1418	1453	1453	65			296		
CON__Q3SX28;P58774;Q80UK0	CON__Q3SX28;P58774	5;5;1	2;2;1	2;2;1	Tropomyosin beta chain	Tpm2	>Q3SX28 TREMBL:Q3SX28;Q5KR48 (Bos taurus) Tropomyosin 2;>P58774 Tropomyosin beta chain OS=Mus musculus OX=10090 GN=Tpm2 PE=1 SV=1	3	5	2	2	14.4	6.3	6.3	33.012	284	284;284;696	2	1		1		0	14.897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			+	32	613;647;2078;2262;3067	True;False;False;True;False	665;702;703;2258;2448;3368	970;1015;1016;1017;1018;3291;3550;4848	1000;1046;1047;1048;1049;3398;3660;4986	1000;1047;3398;3660;4986	66;67;68;69;70			152;161;220;231;248		
CON__Q9DCV7;Q9DCV7;CON__Q3KNV1;CON__P08729	CON__Q9DCV7;Q9DCV7	8;8;2;2	7;7;1;1	6;6;1;1	Keratin, type II cytoskeletal 7	Krt7	>Q9DCV7 SWISS-PROT:Q9DCV7 Tax_Id=10090 Gene_Symbol=Krt7 Keratin, type II cytoskeletal 7;>Q9DCV7 Keratin, type II cytoskeletal 7 OS=Mus musculus OX=10090 GN=Krt7 PE=1 SV=1	4	8	7	6	16.2	14.2	12.3	50.708	457	457;457;469;469	3.25		3		5	0	63.931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			+	33	351;831;920;1697;1870;2540;2541;2852	True;True;True;True;False;True;True;True	385;902;996;1848;2032;2778;2779;3126	594;1306;1430;2705;2706;2972;4024;4025;4505	614;1340;1465;2797;2798;3069;4148;4149;4635	614;1340;1465;2798;3069;4148;4149;4635	51;52;71;72;73;74;75			90;127;173;193;290;388;446		
CON__Q9TRI1;Q61703	CON__Q9TRI1;Q61703	1;1	1;1	1;1	Inter-alpha-trypsin inhibitor heavy chain H2	Itih2	>Q9TRI1 TREMBL:Q9TRI1 (Bos taurus) similar to inter-alpha-trypsin inhibitor heavy chain2;>Q61703 Inter-alpha-trypsin inhibitor heavy chain H2 OS=Mus musculus OX=10090 GN=Itih2 PE=1 SV=1	2	1	1	1	1	1	1	106.19	946	946;946	3			1		0.0099194	5.4914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			+	34	1304	True	1409	2048	2112	2112	76			581		
D3YVF0	D3YVF0	2	2	2	A-kinase anchor protein 5	Akap5	>D3YVF0 A-kinase anchor protein 5 OS=Mus musculus OX=10090 GN=Akap5 PE=1 SV=2	1	2	2	2	2.7	2.7	2.7	79.396	745	745	3		1		1	0	13.519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				35	1825;1998	True;True	1986;2178	2910;3184	3006;3287	3006;3287	77;78			31;60		
D3Z4S3	D3Z4S3	1	1	1	Putative peptidyl-tRNA hydrolase PTRHD1	Ptrhd1	>D3Z4S3 Putative peptidyl-tRNA hydrolase PTRHD1 OS=Mus musculus OX=10090 GN=Ptrhd1 PE=1 SV=1	1	1	1	1	6.4	6.4	6.4	16.037	140	140	2		2			0	7.273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				36	676	True	734	1063;1064	1094;1095	1095	79			134		
D3Z6Q9	D3Z6Q9	1	1	1	Bridging integrator 2	Bin2	>D3Z6Q9 Bridging integrator 2 OS=Mus musculus OX=10090 GN=Bin2 PE=1 SV=1	1	1	1	1	1.6	1.6	1.6	52.553	489	489	2		1			0.0099875	5.508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				37	3505	True	3839	5500	5650	5650	80			79		
E9PYL2	E9PYL2	2	2	2		Prr12	>E9PYL2 Proline-rich protein 12 OS=Mus musculus OX=10090 GN=Prr12 PE=1 SV=1	1	2	2	2	1.3	1.3	1.3	211.87	2035	2035	3	1			2	0	16.811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				38	1104;2166	True;True	1190;2350	1723;3423;3424	1771;3532;3533	1771;3532	81;82			615;1214		
E9Q394	E9Q394	1	1	1		Akap13	>E9Q394 A-kinase anchor protein 13 OS=Mus musculus OX=10090 GN=Akap13 PE=1 SV=1	1	1	1	1	0.4	0.4	0.4	303.97	2776	2776	4				1	0	12.696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				39	2775	True	3037	4395	4525	4525	83			2562		
E9Q3C1	E9Q3C1	1	1	1		C2cd2	>E9Q3C1 C2 domain-containing protein 2 OS=Mus musculus OX=10090 GN=C2cd2 PE=1 SV=1	1	1	1	1	1.4	1.4	1.4	76.535	696	696	1	1				0	7.2606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				40	1120	True	1208	1755	1805	1805	84	2		684	688	
J3QMK6;E9Q3E1;Q80VQ0	J3QMK6;E9Q3E1;Q80VQ0	1;1;1	1;1;1	1;1;1	Aldehyde dehydrogenase;Aldehyde dehydrogenase family 3 member B1	1700055N04Rik;Aldh3b2;Aldh3b1	>J3QMK6 Aldehyde dehydrogenase family 3 member B3 OS=Mus musculus OX=10090 GN=Aldh3b3 PE=1 SV=1;>E9Q3E1 Aldehyde dehydrogenase family 3 member B2 OS=Mus musculus OX=10090 GN=Aldh3b2 PE=1 SV=1;>Q80VQ0 Aldehyde dehydrogenase family 3 member B1 OS=Mus musculu	3	1	1	1	1.7	1.7	1.7	53.119	479	479;479;468	4				1	0.0031008	6.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				41	1530	True	1658	2422	2498	2498	85			302		
E9Q555	E9Q555	1	1	1	E3 ubiquitin-protein ligase RNF213	Rnf213	>E9Q555 E3 ubiquitin-protein ligase RNF213 OS=Mus musculus OX=10090 GN=Rnf213 PE=1 SV=2	1	1	1	1	0.2	0.2	0.2	584.78	5152	5152	4				1	0	6.4622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				42	126	True	136	206	211	211	86			4007		
E9Q557	E9Q557	1	1	1	Desmoplakin	Dsp	>E9Q557 Desmoplakin OS=Mus musculus OX=10090 GN=Dsp PE=1 SV=1	1	1	1	1	0.3	0.3	0.3	332.91	2883	2883	1	1				0.00083822	6.3267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				43	2964	True	3254	4693	4826	4826	87			1422		
E9Q5C9	E9Q5C9	1	1	1		Nolc1	>E9Q5C9 Nucleolar and coiled-body phosphoprotein 1 OS=Mus musculus OX=10090 GN=Nolc1 PE=1 SV=1	1	1	1	1	2	2	2	73.697	702	702	3			1		0	9.5967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				44	18	True	18	27	27	27	88			509		
E9Q5K9	E9Q5K9	1	1	1	YTH domain-containing protein 1	Ythdc1	>E9Q5K9 YTH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ythdc1 PE=1 SV=2	1	1	1	1	1.1	1.1	1.1	85.648	736	736	3			2		0	6.8974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				45	1156	True	1249	1813;1814	1867;1868	1868	89			90		
E9Q7G0	E9Q7G0	4	4	4		Numa1	>E9Q7G0 Nuclear mitotic apparatus protein 1 OS=Mus musculus OX=10090 GN=Numa1 PE=1 SV=1	1	4	4	4	1.5	1.5	1.5	235.63	2094	2094	1.8	1	4			0	25.231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				46	1139;3168;3540;3640	True;True;True;True	1228;3477;3881;3984	1783;5016;5017;5561;5699	1836;5157;5158;5713;5853	1836;5157;5713;5853	90;91;92;93			443;1512;1553;1606		
